name,sweetness,saltiness,sourness,bitterness,umami,overall_score
lait,6.0,2.0,1.0,0.5,2.0,7.5
lait de soja,5.5,2.0,1.0,1.5,3.0,7.0
lait d'amande,6.5,1.5,0.5,0.5,1.0,7.8
lait d'avoine,7.0,1.5,0.5,0.5,2.0,8.0
lait de coco,7.5,1.0,0.5,0.5,1.5,8.2
yaourt,4.0,2.5,6.0,0.5,2.0,7.5
yaourt de soja,4.0,2.5,5.5,1.0,2.5,7.2
yaourt de coco,5.0,2.0,5.0,0.5,1.5,7.8
crème fraîche,3.0,2.0,4.0,0.5,3.0,7.5
crème de soja,3.0,2.0,3.5,1.0,3.5,7.3
crème de coco,4.0,1.5,3.0,0.5,2.5,8.0
beurre,2.0,3.0,2.0,0.5,4.0,8.0
margarine végétale,2.0,3.0,2.0,0.5,3.5,7.5
huile de coco,1.0,0.5,0.5,0.5,1.0,7.0
fromage,2.0,7.0,3.0,1.0,8.0,8.5
fromage végétal,2.5,6.5,2.5,1.5,7.0,7.5
levure nutritionnelle,1.0,4.0,1.0,2.0,9.0,7.8
oeuf,1.0,3.0,0.5,0.5,6.0,7.5
tofu,1.0,2.0,0.5,1.0,5.0,6.5
tempeh,2.0,2.5,1.0,2.0,7.0,7.5
seitan,1.0,3.0,0.5,1.0,7.5,7.8
viande de boeuf,1.0,4.0,0.5,0.5,9.0,8.5
poulet,1.0,3.5,0.5,0.5,7.0,8.0
porc,2.0,4.0,0.5,0.5,7.5,8.0
saumon,1.0,4.5,0.5,0.5,8.0,8.5
gélatine,0.5,1.0,0.5,0.5,2.0,5.0
agar-agar,0.5,1.0,0.5,0.5,1.5,6.5
pectine,1.0,0.5,2.0,0.5,0.5,6.0
carraghénane,0.5,1.0,0.5,0.5,1.0,6.0
miel,9.5,0.5,0.5,0.5,0.5,8.5
sirop d'agave,9.0,0.5,0.5,0.5,0.5,8.0
sirop d'érable,9.5,0.5,0.5,0.5,1.0,9.0
sirop de dattes,9.0,0.5,0.5,0.5,1.5,8.5
sucre,10.0,0.0,0.0,0.0,0.0,7.0
sel,0.0,10.0,0.0,0.0,0.0,7.0
vinaigre,0.5,1.0,9.5,0.5,1.0,6.5
jus de citron,2.0,0.5,9.0,1.0,0.5,7.5
acide citrique,0.5,0.5,9.5,0.5,0.5,6.0
tomate,4.0,2.0,5.0,0.5,6.0,8.0
oignon,4.0,2.0,2.0,1.5,5.0,7.5
ail,2.0,2.0,1.0,2.0,7.0,8.0
carotte,6.0,1.5,1.0,0.5,3.0,7.5
épinards,1.0,2.0,2.0,3.0,4.0,7.0
brocoli,2.0,2.0,1.0,3.5,4.0,7.0
pomme de terre,3.0,2.0,0.5,0.5,4.0,7.0
patate douce,7.0,1.5,0.5,0.5,3.0,8.0
banane,8.5,0.5,0.5,0.5,0.5,8.5
pomme,7.0,0.5,4.0,0.5,0.5,8.0
fraise,8.0,0.5,3.0,0.5,0.5,9.0
myrtille,6.5,0.5,3.5,1.0,0.5,8.5
amandes,3.0,2.0,0.5,2.0,3.0,8.0
noix de cajou,4.0,2.0,0.5,1.0,3.5,8.5
graines de lin,2.0,1.5,0.5,2.5,2.0,6.5
graines de chia,2.0,1.5,0.5,1.5,2.0,7.0
purée d'amande,3.5,2.0,0.5,2.0,3.5,8.2
beurre de cacahuète,4.0,3.0,0.5,1.5,4.0,8.5
tahini,2.0,2.5,1.0,2.5,5.0,7.5
lentilles,2.0,2.0,0.5,1.0,5.0,7.5
pois chiches,3.0,2.0,0.5,1.0,4.5,7.8
haricots noirs,2.0,2.0,0.5,1.0,5.0,7.5
quinoa,2.0,2.0,0.5,1.5,3.0,7.5
avoine,3.0,1.5,0.5,1.0,2.5,7.5
riz,2.0,1.5,0.5,0.5,3.0,7.0
pain,3.0,3.0,1.0,1.0,3.0,7.5
huile d'olive,0.5,1.0,1.0,2.0,3.0,8.5
huile de tournesol,0.5,0.5,0.5,0.5,1.0,7.0
curcuma,1.0,1.0,0.5,3.0,2.0,7.0
paprika,2.0,2.0,1.0,1.5,4.0,7.5
poivre,0.5,1.0,0.5,2.5,2.0,7.0
aquafaba,1.0,2.0,0.5,0.5,2.0,6.5
compote de pommes,8.0,0.5,2.0,0.5,0.5,7.5
protéines de soja texturées,1.0,2.0,0.5,1.5,6.0,7.0
gomme de guar,0.5,0.5,0.5,0.5,0.5,5.5
gomme xanthane,0.5,0.5,0.5,0.5,0.5,5.5
levure,1.0,3.0,1.0,2.0,8.0,7.5
extrait de levure,0.5,5.0,1.0,2.0,9.5,8.0
