name,protein_g,fat_g,carbs_g,fiber_g,calories_kcal,water_g
lait entier,3.3,3.3,4.8,0,61,88
lait demi-écrémé,3.4,1.5,5.0,0,46,90
lait écrémé,3.4,0.1,5.0,0,34,91
lait de soja,3.3,1.8,6.3,0.6,54,88
lait d'amande,0.4,1.1,0.6,0.2,13,96
lait d'avoine,1.0,1.5,6.7,0.8,47,90
lait de coco,0.2,2.3,2.8,0,24,94
yaourt nature,3.5,3.3,4.7,0,61,88
yaourt grec,10.0,0.4,3.6,0,59,85
crème fraîche,2.1,30.0,3.4,0,292,63
beurre,0.9,81.1,0.1,0,717,16
fromage cheddar,25.0,33.0,1.3,0,403,37
oeuf entier,12.6,9.5,1.1,0,143,76
blanc d'oeuf,10.9,0.2,0.7,0,52,88
jaune d'oeuf,15.9,26.5,3.6,0,322,52
viande de boeuf,26.0,15.0,0,0,250,58
poulet,27.0,3.6,0,0,165,69
porc,27.0,14.0,0,0,242,58
saumon,20.0,13.0,0,0,208,67
thon,23.0,1.0,0,0,109,74
gélatine,85.6,0.1,0,0,335,13
miel,0.3,0,82.4,0.2,304,17
sucre blanc,0,0,99.8,0,387,0
sucre roux,0,0,97.3,0,377,2
farine de blé,10.3,1.5,76.3,2.7,364,11
huile d'olive,0,100.0,0,0,884,0
huile de coco,0,99.9,0,0,862,0
sel,0,0,0,0,0,0
tofu,8.1,4.8,1.9,0.3,76,85
tempeh,19.0,11.0,9.0,6.0,193,60
seitan,75.0,1.9,14.0,0.6,370,8
protéines de soja texturées,52.0,1.0,33.0,18.0,330,8
lentilles,9.0,0.4,20.0,8.0,116,70
pois chiches,8.9,2.6,27.4,7.6,164,61
haricots noirs,8.9,0.5,23.7,8.7,132,66
quinoa,4.4,1.9,21.3,2.8,120,72
avoine,13.2,6.5,67.7,10.1,389,8
riz blanc,2.7,0.3,28.2,0.4,130,68
pâtes,5.8,0.9,30.9,1.8,158,62
pain complet,9.0,3.4,41.0,7.0,247,38
amandes,21.2,49.9,21.6,12.5,579,4
noix de cajou,18.2,43.9,30.2,3.3,553,5
graines de lin,18.3,42.2,28.9,27.3,534,7
graines de chia,16.5,30.7,42.1,34.4,486,6
purée d'amande,21.0,55.0,19.0,12.0,614,2
beurre de cacahuète,25.8,50.0,20.0,6.0,588,1
huile de tournesol,0,100.0,0,0,884,0
margarine végétale,0.2,80.0,0.7,0,717,16
agar-agar,0.5,0.1,0.9,0.5,26,98
pectine,0.3,0,0.5,0,325,12
gomme de guar,0,0,0,80.0,0,10
carraghénane,1.0,0,0,0,0,95
vinaigre,0,0,0.9,0,18,94
jus de citron,0.4,0.1,6.9,0.1,22,92
acide citrique,0,0,0,0,0,8
sirop d'agave,0.1,0.5,76.4,0.2,310,23
sirop d'érable,0,0.2,67.0,0,260,32
sirop de dattes,0.4,0,75.0,0.7,277,22
levure nutritionnelle,50.0,7.0,36.0,27.0,325,5
extrait de levure,40.0,1.0,18.0,12.0,180,40
curcuma,7.8,9.9,64.9,21.1,354,11
paprika,14.1,12.9,53.9,34.9,282,11
poivre noir,10.4,3.3,64.8,25.3,251,12
ail,6.4,0.5,33.1,2.1,149,59
oignon,1.1,0.1,9.3,1.7,40,89
tomate,0.9,0.2,3.9,1.2,18,95
carotte,0.9,0.2,9.6,2.8,41,88
épinards,2.9,0.4,3.6,2.2,23,91
brocoli,2.8,0.4,6.6,2.6,34,89
pomme de terre,2.0,0.1,17.5,2.1,77,79
patate douce,1.6,0.1,20.1,3.0,86,77
banane,1.1,0.3,22.8,2.6,89,75
pomme,0.3,0.2,13.8,2.4,52,86
fraise,0.7,0.3,7.7,2.0,32,91
myrtille,0.7,0.3,14.5,2.4,57,84
